id;Тип квартиры;Площадь;Этаж;Цена;Цена за метр;Статус;Описание
173808883;Студия;31; 13/14 этаж;3009510;98640;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 3"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
189059336;1-комн. кв.;36; 8/14 этаж;3067710;84720;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 4"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
176919877;2-комн. кв.;54; 11/14 этаж;4346850;79920;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 4"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
176919810;Студия;31; 12/14 этаж;3009510;98640;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 3"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
187614140;Студия;32; 6/15 этаж;3207030;101232;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 2"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
188649204;1-комн. кв.;39; 9/15 этаж;3354910;86400;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 2"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
173808890;1-комн. кв.;40; 14/14 этаж;3756000;93456;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 3"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
173808825;1-комн. кв.;37; 9/14 этаж;3778040;102944;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 3"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
185987518;1-комн. кв.;39; 8/14 этаж;3868090;99488;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 3"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
182169359;1-комн. кв.;40; 9/14 этаж;4020180;101648;Сдача ГК: 4 кв. 2019 года;"Корпус ""Ватутинки 3"". Уникальный ЖК ""Кленовые Аллеи"", расположенный в новой Москве. Комплекс находится в пешей доступности через дорогу от станции метро ""Ватутинки"".
Рядом с ЖК проходит реконструированное и расширенное Калужское шоссе  теперь это современная скоростная магистраль с освещением, остановками общественного транспорта и пешеходными дорожками. В ближайшие годы в новой Москве планируется запуск линий скоростных трамваев."
